"Algorithm","Hash","Path"
"SHA256","284CC20C35455BE3AB1568649CB2450FA421CEB9FA3F06FEDA204716075F2730","C:\Users\olly\Desktop\Arabella Data 2026\Customer Relations dept\php-7.3.8-nts-Win32-VC15-x86.zip"
"SHA256","DCA467B0DE436CD67F37A853DB55D256F31A4301DCE20EAB2278FB8194DEF446","C:\Users\olly\Desktop\Arabella Data 2026\Customer Relations dept\PHPManagerForIIS_V1.5.0.msi"
"SHA256","37342FF2F585F263F34F48E9DE59EB1051D61015A8E967DBDE4075716230A32A","C:\Users\olly\Desktop\Arabella Data 2026\Customer Relations dept\rewrite_amd64_en-US.msi"
"SHA256","CE4843A946EE3732EB2BFC098DB5741DC5495C7BEA204E11D379336DCC68E875","C:\Users\olly\Desktop\Arabella Data 2026\Customer Relations dept\VC_redist.x86.exe"
"SHA256","1DF33F4FACAB40720A741C6B8BCD8A9587884C03159485734772EB40FBE53986","C:\Users\olly\Desktop\Arabella Data 2026\Finance dept\Expenditure report.txt"
"SHA256","035458B6F22A5414CDDD07ADC33B7105B9FC2404193C5A83C89A954188B1AA0E","C:\Users\olly\Desktop\Arabella Data 2026\Finance dept\HeidiSQL_12.3.0.6589_Setup.exe.docx"
"SHA256","26FE5B7B821B0AE6DE0297701BB8D458CA1FD9A071B6C16F1E0E4D371216F077","C:\Users\olly\Desktop\Arabella Data 2026\Finance dept\invoices_2026.txt"
"SHA256","8C747EE850980A5EA49F0B51A3C591A3C371F72D2C27860CE0192A37BD646502","C:\Users\olly\Desktop\Arabella Data 2026\Finance dept\mysql-5.5.62-win32.msi"
"SHA256","F8561FD57504E2246A226C6E242FB3E9E4A8B21A685667F66B7C88DE6871E444","C:\Users\olly\Desktop\Arabella Data 2026\Finance dept\osTicket-v1.15.8.zip"
"SHA256","BC7D93BD9735F998DE1F356ADF65A04FCD98728DE254094974E9C0349DBBF866","C:\Users\olly\Desktop\Arabella Data 2026\Finance dept\php-7.3.8-nts-Win32-VC15-x86 (right-click and download)-20260412T064610Z-3-001.zip"
"SHA256","284CC20C35455BE3AB1568649CB2450FA421CEB9FA3F06FEDA204716075F2730","C:\Users\olly\Desktop\Arabella Data 2026\Finance dept\php-7.3.8-nts-Win32-VC15-x86.zip"
"SHA256","DCA467B0DE436CD67F37A853DB55D256F31A4301DCE20EAB2278FB8194DEF446","C:\Users\olly\Desktop\Arabella Data 2026\Finance dept\PHPManagerForIIS_V1.5.0.msi"
"SHA256","D720A79345DD25483434471A0C99B5B843531067E303C5CBF9AFDE9535661F98","C:\Users\olly\Desktop\Arabella Data 2026\Finance dept\Q1_budget.txt"
"SHA256","37342FF2F585F263F34F48E9DE59EB1051D61015A8E967DBDE4075716230A32A","C:\Users\olly\Desktop\Arabella Data 2026\Finance dept\rewrite_amd64_en-US.msi"
"SHA256","CE4843A946EE3732EB2BFC098DB5741DC5495C7BEA204E11D379336DCC68E875","C:\Users\olly\Desktop\Arabella Data 2026\Finance dept\VC_redist.x86.exe"
"SHA256","1CE1D226F9E44CA0CAB7EE9148A877CE9A8FB9E899DDAEC6742A68CF426CD239","C:\Users\olly\Desktop\Arabella Data 2026\IT dept\asset_inventory.txt"
"SHA256","035458B6F22A5414CDDD07ADC33B7105B9FC2404193C5A83C89A954188B1AA0E","C:\Users\olly\Desktop\Arabella Data 2026\IT dept\HeidiSQL_12.3.0.6589_Setup.exe.docx"
"SHA256","5A477DC10A52C6D94BEF1DB7BEF67CC755634CEAEF1FE10DCC05E05AE2F37876","C:\Users\olly\Desktop\Arabella Data 2026\IT dept\incident_log.txt"
"SHA256","8C747EE850980A5EA49F0B51A3C591A3C371F72D2C27860CE0192A37BD646502","C:\Users\olly\Desktop\Arabella Data 2026\IT dept\mysql-5.5.62-win32.msi"
"SHA256","F8561FD57504E2246A226C6E242FB3E9E4A8B21A685667F66B7C88DE6871E444","C:\Users\olly\Desktop\Arabella Data 2026\IT dept\osTicket-v1.15.8.zip"
"SHA256","BC7D93BD9735F998DE1F356ADF65A04FCD98728DE254094974E9C0349DBBF866","C:\Users\olly\Desktop\Arabella Data 2026\IT dept\php-7.3.8-nts-Win32-VC15-x86 (right-click and download)-20260412T064610Z-3-001.zip"
"SHA256","284CC20C35455BE3AB1568649CB2450FA421CEB9FA3F06FEDA204716075F2730","C:\Users\olly\Desktop\Arabella Data 2026\IT dept\php-7.3.8-nts-Win32-VC15-x86.zip"
"SHA256","DCA467B0DE436CD67F37A853DB55D256F31A4301DCE20EAB2278FB8194DEF446","C:\Users\olly\Desktop\Arabella Data 2026\IT dept\PHPManagerForIIS_V1.5.0.msi"
"SHA256","37342FF2F585F263F34F48E9DE59EB1051D61015A8E967DBDE4075716230A32A","C:\Users\olly\Desktop\Arabella Data 2026\IT dept\rewrite_amd64_en-US.msi"
"SHA256","46316A1C9EAC29965D87FA83DB758ED0744E718182CAECB535ACB69EBD818BDE","C:\Users\olly\Desktop\Arabella Data 2026\IT dept\software_licences.txt"
"SHA256","CE4843A946EE3732EB2BFC098DB5741DC5495C7BEA204E11D379336DCC68E875","C:\Users\olly\Desktop\Arabella Data 2026\IT dept\VC_redist.x86.exe"
"SHA256","035458B6F22A5414CDDD07ADC33B7105B9FC2404193C5A83C89A954188B1AA0E","C:\Users\olly\Desktop\Arabella Data 2026\Sales & Marketing dept\HeidiSQL_12.3.0.6589_Setup.exe.docx"
"SHA256","8C747EE850980A5EA49F0B51A3C591A3C371F72D2C27860CE0192A37BD646502","C:\Users\olly\Desktop\Arabella Data 2026\Sales & Marketing dept\mysql-5.5.62-win32.msi"
"SHA256","F8561FD57504E2246A226C6E242FB3E9E4A8B21A685667F66B7C88DE6871E444","C:\Users\olly\Desktop\Arabella Data 2026\Sales & Marketing dept\osTicket-v1.15.8.zip"
"SHA256","BC7D93BD9735F998DE1F356ADF65A04FCD98728DE254094974E9C0349DBBF866","C:\Users\olly\Desktop\Arabella Data 2026\Sales & Marketing dept\php-7.3.8-nts-Win32-VC15-x86 (right-click and download)-20260412T064610Z-3-001.zip"
"SHA256","284CC20C35455BE3AB1568649CB2450FA421CEB9FA3F06FEDA204716075F2730","C:\Users\olly\Desktop\Arabella Data 2026\Sales & Marketing dept\php-7.3.8-nts-Win32-VC15-x86.zip"
"SHA256","DCA467B0DE436CD67F37A853DB55D256F31A4301DCE20EAB2278FB8194DEF446","C:\Users\olly\Desktop\Arabella Data 2026\Sales & Marketing dept\PHPManagerForIIS_V1.5.0.msi"
"SHA256","37342FF2F585F263F34F48E9DE59EB1051D61015A8E967DBDE4075716230A32A","C:\Users\olly\Desktop\Arabella Data 2026\Sales & Marketing dept\rewrite_amd64_en-US.msi"
"SHA256","013B2C939038961A020C64E9F19BDA60BF47E4626DDE6A65CFA0B698D6CCB1F2","C:\Users\olly\Desktop\Arabella Data 2026\Sales & Marketing dept\Supplier-list.txt"
"SHA256","CE4843A946EE3732EB2BFC098DB5741DC5495C7BEA204E11D379336DCC68E875","C:\Users\olly\Desktop\Arabella Data 2026\Sales & Marketing dept\VC_redist.x86.exe"
